Course Id;Course Name;Provider;Institutions;Parent.Subject;Child.Subject;Url;Date;Length;;
396;An Introduction to the U.S. Food System: Perspectives from Public Health;Coursera;Johns Hopkins University;Health & Medicine;Public & Global Health;https://www.coursera.org/course/foodsys;2015-01-20;6;;
397;Community Change in Public Health;Coursera;Johns Hopkins University;Health & Medicine;Public & Global Health;https://www.coursera.org/course/communitychange;2015-04-13;6;;
398;Neural Networks for Machine Learning;Coursera;University of Toronto;Computer Science;Artificial Intelligence;https://www.coursera.org/course/neuralnets;2012-10-01;8;;
399;Vaccine Trials: Methods and Best Practices;Coursera;Johns Hopkins University;Health & Medicine;Health Care & Research;https://www.coursera.org/course/vacctrials;2013-06-24;NA;;
400;The Social Context of Mental Health and Illness;Coursera;University of Toronto;Health & Medicine;Disease & Disorders;https://www.coursera.org/course/mentalhealth;2013-06-24;6;;
401;Galaxies and Cosmology;Coursera;California Institute of Technology;Science;Astronomy;https://www.coursera.org/course/cosmo;2015-01-05;NA;;
402;Principles of Economics for Scientists;Coursera;California Institute of Technology;Science;NA;https://www.coursera.org/course/econ1scientists;2013-01-07;NA;;
403;Drugs and the Brain;Coursera;California Institute of Technology;Health & Medicine;Health Care & Research;https://www.coursera.org/course/drugsandbrain;2014-01-04;NA;;
404;Control of Mobile Robots;Coursera;Georgia Institute of Technology;Engineering;Mechanical Engineering;https://www.coursera.org/course/conrob;2014-01-20;7;;
405;UT.1.01x: Energy 101;Coursera;Georgia Institute of Technology;Science;Environmental Science;https://www.coursera.org/course/energy101;2014-01-13;11;;
406;Computational Investing, Part I;Coursera;Georgia Institute of Technology;Business & Management;Finance;https://www.coursera.org/course/compinvesting1;2014-09-12;NA;;
407;Computational Photography;Coursera;Georgia Institute of Technology;Programming;NA;https://www.coursera.org/course/compphoto;2013-03-25;NA;;
408;An Introduction to Interactive Programming in Python (Part 1);Coursera;Rice University;Programming;NA;https://www.coursera.org/course/interactivepython1;2015-05-23;5;;
409;Fundamentals of Online Education: Planning and Application;Coursera;Georgia Institute of Technology;Education & Teaching;Online Education;https://www.coursera.org/course/foe;NA;NA;;
410;Fundamentals of Electrical Engineering;Coursera;Rice University;Engineering;Electrical Engineering;https://www.coursera.org/course/eefun;2014-01-20;12;;
412;Chemistry: Concept Development and Application;Coursera;Rice University;Science;Chemistry;https://www.coursera.org/course/genchem1;2013-03-04;10;;
413;Nanotechnology: The Basics;Coursera;Rice University;Science;NA;https://www.coursera.org/course/nanotech;2013-11-11;9;;
414;Artificial Intelligence Planning;Coursera;University of Edinburgh;Computer Science;Artificial Intelligence;https://www.coursera.org/course/aiplan;2015-01-12;7;;
415;Astrobiology and the Search for Extraterrestrial Life;Coursera;University of Edinburgh;Science;Astronomy;https://www.coursera.org/learn/astrobiology;Self paced;NA;;
416;Scientific Computing;Coursera;University of Washington;Computer Science;NA;https://www.coursera.org/course/scientificcomp;2014-08-26;10;;
417;Information Security and Risk Management in Context;Coursera;University of Washington;Computer Science;NA;https://www.coursera.org/course/inforiskman;2014-08-26;10;;
418;Introduction to Philosophy;Coursera;University of Edinburgh;Humanities;Philosophy;https://www.coursera.org/learn/philosophy;Self paced;NA;;
419;Equine Nutrition;Coursera;University of Edinburgh;Health & Medicine;Nutrition & Wellness;https://www.coursera.org/course/equinenutrition;2015-01-26;NA;;
420;Critical Thinking in Global Challenges;Coursera;University of Edinburgh;Health & Medicine;Public & Global Health;https://www.coursera.org/course/criticalthinking;2015-01-19;NA;;
421;E-learning and Digital Cultures;Coursera;University of Edinburgh;Education & Teaching;Online Education;https://www.coursera.org/course/edc;2014-11-03;5;;
422;Functional Programming Principles in Scala;Coursera;École Polytechnique Fédérale de Lausanne;Computer Science;NA;https://www.coursera.org/course/progfun;2014-09-15;7;;
423;Digital Signal Processing;Coursera;École Polytechnique Fédérale de Lausanne;Engineering;Electrical Engineering;https://www.coursera.org/course/dsp;2015-01-19;10;;
424;A Beginner's Guide to Irrational Behavior;Coursera;Duke University;Social Sciences;Psychology;https://www.coursera.org/course/behavioralecon;2014-03-11;NA;;
